model,label_config,class,f2,support
minilm,original,availability,0.5185,40
minilm,original,legal,0.4074,24
minilm,original,look-and-feel,0.1145,64
minilm,original,maintainability,0.3929,25
minilm,original,operational,0.1142,50
minilm,original,performance,0.2045,48
minilm,original,scalability,0.4762,17
minilm,original,security,0.6667,62
minilm,original,usability,0.3352,36
minilm,expert,availability,0.4025,40
minilm,expert,legal,0.5036,24
minilm,expert,look-and-feel,0.4371,64
minilm,expert,maintainability,0.5785,25
minilm,expert,operational,0.3333,50
minilm,expert,performance,0.1316,48
minilm,expert,scalability,0.3333,17
minilm,expert,security,0.8663,62
minilm,expert,usability,0.3416,36
mpnet,original,availability,0.2865,40
mpnet,original,legal,0.2273,24
mpnet,original,look-and-feel,0.223,64
mpnet,original,maintainability,0.3608,25
mpnet,original,operational,0.0,50
mpnet,original,performance,0.1733,48
mpnet,original,scalability,0.4464,17
mpnet,original,security,0.7362,62
mpnet,original,usability,0.4439,36
mpnet,expert,availability,0.4605,40
mpnet,expert,legal,0.5172,24
mpnet,expert,look-and-feel,0.6487,64
mpnet,expert,maintainability,0.4924,25
mpnet,expert,operational,0.2915,50
mpnet,expert,performance,0.1878,48
mpnet,expert,scalability,0.3738,17
mpnet,expert,security,0.8859,62
mpnet,expert,usability,0.3704,36
