classifier,type,tp,fp,fn,tn,recall,precision,specificity,f1,f2
knn,availability,12,25,28,557,0.3,0.3243,0.957,0.3117,0.3046
knn,legal,3,16,21,582,0.125,0.1579,0.9732,0.1395,0.1304
knn,look-and-feel,13,44,56,509,0.1884,0.2281,0.9204,0.2063,0.1952
knn,maintainability,1,22,32,567,0.0303,0.0435,0.9626,0.0357,0.0323
knn,operational,15,46,44,517,0.2542,0.2459,0.9183,0.25,0.2525
knn,performance,12,45,51,514,0.1905,0.2105,0.9195,0.2,0.1942
knn,scalability,7,39,22,554,0.2414,0.1522,0.9342,0.1867,0.216
knn,security,17,41,59,505,0.2237,0.2931,0.9249,0.2537,0.2348
knn,usability,26,75,59,462,0.3059,0.2574,0.8603,0.2796,0.2948
knn,macro-avg,,,,,0.2066,0.2125,0.9301,0.207,0.2061
svm,availability,28,90,12,492,0.7,0.2373,0.8454,0.3544,0.5036
svm,legal,12,43,12,555,0.5,0.2182,0.9281,0.3038,0.3974
svm,look-and-feel,46,119,23,434,0.6667,0.2788,0.7848,0.3932,0.5215
svm,maintainability,15,71,18,518,0.4545,0.1744,0.8795,0.2521,0.344
svm,operational,43,117,16,446,0.7288,0.2687,0.7922,0.3927,0.5429
svm,performance,42,85,21,474,0.6667,0.3307,0.8479,0.4421,0.5541
svm,scalability,15,28,14,565,0.5172,0.3488,0.9528,0.4167,0.4717
svm,security,64,100,12,446,0.8421,0.3902,0.8168,0.5333,0.6838
svm,usability,52,138,33,399,0.6118,0.2737,0.743,0.3782,0.4906
svm,macro-avg,,,,,0.632,0.2801,0.8434,0.3852,0.5011
nb,availability,16,10,24,572,0.4,0.6154,0.9828,0.4848,0.4301
nb,legal,4,2,20,596,0.1667,0.6667,0.9967,0.2667,0.1961
nb,look-and-feel,30,28,39,525,0.4348,0.5172,0.9494,0.4724,0.4491
nb,maintainability,3,9,30,580,0.0909,0.25,0.9847,0.1333,0.1042
nb,operational,18,22,41,541,0.3051,0.45,0.9609,0.3636,0.3261
nb,performance,30,22,33,537,0.4762,0.5769,0.9606,0.5217,0.4934
nb,scalability,8,3,21,590,0.2759,0.7273,0.9949,0.4,0.315
nb,security,57,36,19,510,0.75,0.6129,0.9341,0.6746,0.7179
nb,usability,46,65,39,472,0.5412,0.4144,0.879,0.4694,0.51
nb,macro-avg,,,,,0.3823,0.5368,0.9603,0.4207,0.3935
