project,n_test,svm_theta_star,svm_train_f2,nb_theta_star,nb_train_f2,knn_f2,svm_f2,nb_f2
1,28,-0.6,1.0,0.1,0.895,0.1581,0.2388,0.3386
2,40,-0.7,1.0,0.1,0.895,0.223,0.5211,0.4766
3,79,-0.6,1.0,0.09,0.9108,0.2284,0.5043,0.4821
4,55,-0.6,1.0,0.2,0.9076,0.1238,0.4515,0.3906
5,73,-0.7,1.0,0.15,0.8965,0.1794,0.5514,0.574
6,74,-0.7,1.0,0.07,0.8846,0.2752,0.4068,0.3302
7,23,-0.6,1.0,0.1,0.9077,0.0,0.3377,0.2661
8,92,-0.6,1.0,0.1,0.8993,0.1898,0.6033,0.4254
9,24,-0.6,1.0,0.1,0.8981,0.0397,0.2979,0.2191
10,52,-0.6,1.0,0.09,0.8905,0.1299,0.3695,0.3115
11,13,-0.6,1.0,0.1,0.8963,0.2035,0.463,0.3688
12,22,-0.6,1.0,0.1,0.8975,0.2537,0.2736,0.3062
13,19,-0.7,1.0,0.09,0.8894,0.1044,0.3933,0.3113
14,16,-0.6,1.0,0.1,0.9004,0.1221,0.4531,0.3455
15,12,-0.6,1.0,0.08,0.8896,0.3187,0.5003,0.4228
