type,tp,fp,fn,tn,recall,precision,specificity,f1,f2
availability,29,85,11,497,0.725,0.2544,0.854,0.3766,0.5292
legal,8,15,16,583,0.3333,0.3478,0.9749,0.3404,0.3361
look-and-feel,39,126,30,427,0.5652,0.2364,0.7722,0.3333,0.4422
maintainability,18,34,15,555,0.5455,0.3462,0.9423,0.4235,0.4891
operational,35,71,24,492,0.5932,0.3302,0.8739,0.4242,0.5117
performance,42,72,21,487,0.6667,0.3684,0.8712,0.4746,0.5738
scalability,16,77,13,516,0.5517,0.172,0.8702,0.2623,0.3828
security,51,119,25,427,0.6711,0.3,0.7821,0.4146,0.538
usability,58,181,27,356,0.6824,0.2427,0.6629,0.358,0.5009
functional,118,62,131,311,0.4739,0.6556,0.8338,0.5501,0.5017
macro-avg-NFR,,,,,0.5927,0.2887,,0.3786,0.4782
